row,age,context,emotion,rehearsal,story
1,5,0.10,0.10,0,"چون خیلی بچه بوده، عملاً چیزی از چهارشنبه‌سوری یادش نیست"
2,6,0.10,0.10,0,"هنوز سنش کم بوده و خاطره مشخصی از چهارشنبه‌سوری ندارد"
3,7,0.60,0.40,0,"اولین بار با همکلاسی‌های مدرسه در کوچه چهارشنبه‌سوری را تجربه کرده"
4,8,0.20,0.20,0,"چهارشنبه‌سوری خاصی نبوده و چیز زیادی یادش نمانده"
5,9,0.50,0.80,0,"آن سال همسایه‌شان به بیمارستان رفته و این موضوع باعث شده خاطره‌اش بماند"
6,10,0.40,0.50,0,"مادربزرگش یک شیرینی خاص درست کرده بود، اما بقیه جزئیات را خوب یادش نیست"
7,11,0.20,0.20,0,"خاطره مشخصی از آن سال ندارد"
8,12,0.70,0.90,0,"در کوچه آهنگ سوسن خانوم پخش می‌شده، مردم می‌رقصیدند و پلیس ریخته و ترسیده"
9,13,0.20,0.20,0,"چهارشنبه‌سوری خاصی نبوده و چیزی از آن یادش نمانده"
10,14,0.60,0.40,0,"به یک مهمانی خانوادگی رفته بودند اما جزئیات زیادی یادش نیست"
11,15,0.80,0.70,1,"در سفر بودند و عکس و فیلم زیادی گرفته شد؛ بعدها با دیدن اینستاگرام یادش می‌افتد"
12,16,0.10,0.10,0,"ایران نبوده و به‌خاطر امتحان‌ها متوجه چهارشنبه‌سوری نشده"
13,17,0.10,0.10,0,"باز هم ایران نبوده و درگیر امتحان‌ها بوده و خاطره‌ای ندارد"
14,18,0.50,0.80,1,"ناراحت بوده و در توییتر نوشته که حتی امشب هم تنهاست"
15,19,0.10,0.10,0,"خارج از کشور بوده و چهارشنبه‌سوری خاصی را تجربه نکرده"
16,20,0.10,0.10,0,"باز هم خارج از کشور بوده و خاطره‌ای از چهارشنبه‌سوری ندارد"
17,21,0.40,0.80,1,"خارج از کشور بوده، دلتنگ خانواده بوده و استوری‌های دیگران را نگاه می‌کرده"
18,22,0.30,0.50,0,"جزئیات را دقیق یادش نیست، فقط یادش مانده که تنها بوده"
19,23,0.95,0.80,1,"بعد از بازگشت به ایران خودش مهمانی گرفته و همه را دعوت کرده"
20,24,0.60,0.40,0,"سال گذشته بوده و با خانواده وقت گذرانده، اتفاق خاصی نیفتاده"
